_step,val/test_score/table__hitab/unknown,val/generations,val/test_score/logic__graph_logical_dataset/unknown,val/test_score/logic__zebra_puzzle_dataset/unknown,val/test_score/simulation__arcagi1/unknown,val/test_score/math__aime_repeated_8x/unknown,val/test_score/stem__gpqa/Idavidrein/gpqa,val/test_score/simulation__codeio/unknown,val/test_score/math__amc_repeated_4x/unknown,val/test_score/codegen__mbpp/mbpp,val/test_score/math__math/unknown,val/test_score/table__multihier/unknown,val/test_score/logic__ordering_puzzle_dataset/unknown,val/test_score/codegen__humaneval/openai_humaneval,val/test_score/codegen__livecodebench/LiveCodeBench,run_id,run_created_at,run_name
0,0.285,"{'path': 'media/table/val/generations_0_e3da3a792afecec5dd0c.table.json', 'sha256': 'e3da3a792afecec5dd0cb0ef95171978c7587a74397f042eb5b3e72ac7c71a74', 'size': 111141, 'artifact_path': 'wandb-client-artifact://mxlj0odbw813nrq64ku188kco9no6z8krnywsqszv6iuczf690iw78u6a2mbyclqj5omxnndehy4vi5shog9xuycm0trlsd5nbtm2607jj19qt2jb620fzumr23q9xjv/val/generations.table.json', '_latest_artifact_path': 'wandb-client-artifact://mhz2j54age9io7gdge5yiljxcsbcet3gr2rflxdezm3dutopin8li566mnozxurk4kmmdteyrdcqz7rjhfsnjrcy86vfhsh13hzvnzmeiknre4gs22t357llemezwkmr:latest/val/generations.table.json', 'ncols': 91, 'nrows': 1, '_type': 'table-file'}",0.025974025974025976,0.01479736689478159,0.0,0.0,0.23737373737373738,0.06,0.1927710843373494,0.51,0.406,0.155,0.14,0.4634146341463415,0.03225806451612903,zwd9ir5y,2025-05-11T03:16:49Z,guru15k_mix_qwen_7b_shiboshibo
5,0.335,"{'ncols': 91, 'nrows': 2, 'path': 'media/table/val/generations_4_214cac5b94c34dda2ec4.table.json', 'sha256': '214cac5b94c34dda2ec414831dcd06a27593438237c6d84a85685d8e14bb4f9e', 'size': 215215, 'artifact_path': 'wandb-client-artifact://nmosqacpc30krb8lq5o6u1unpg3o0cvn8g9xt02ecnv9l94z1zb7c9aqz9j1b2rufs9y15zcovcc5pus70eze7gyl4x61dh3l42nh1y2y1zgt9psaqmkuectm34loz7y/val/generations.table.json', '_latest_artifact_path': 'wandb-client-artifact://o2wqr69udojd00hvfuie1sjv18ba6x0ujl9pan4ud84ygfrrtt0bicovd9m4ncyqxidaemqa6wopmjycadqj0yxgvmba1l9tqzm85ph0xf5wo1v1jj2ehfaixiimu8pb:latest/val/generations.table.json', '_type': 'table-file'}",0.025974025974025976,0.010861111283302307,0.005,0.020833333333333332,0.23232323232323232,0.05,0.19578313253012047,0.51,0.444,0.22,0.12,0.5609756097560976,0.06093189964157706,zwd9ir5y,2025-05-11T03:16:49Z,guru15k_mix_qwen_7b_shiboshibo
10,0.45,"{'nrows': 3, 'sha256': '0b10c67a4fcf14844fb329dea839f443a2e67ed49db4cd05ac6675d50ccecc29', '_type': 'table-file', 'ncols': 91, 'path': 'media/table/val/generations_9_0b10c67a4fcf14844fb3.table.json', 'size': 309332, 'artifact_path': 'wandb-client-artifact://dgljuyvsf88pm5iw63rqarlj02mi1ncdpqpqpfzh5991njlp8x1xbefkg0rq7wb4vxd2sb6z3utsusey62csbstri6q6gb5vz9qc3r4dlytdabl3lu9kbpeyyq4eirui/val/generations.table.json', '_latest_artifact_path': 'wandb-client-artifact://z94aklal9liicv8u7ffxczjienjmtwrs7k3p70pvshprlja7mm1tc79jb182jcxe6y3cfib711xqyp7o6m9jh1ycwvuhc9c00yc2sce5evlnvkqtxlyxgjrbwjzooics:latest/val/generations.table.json'}",0.06493506493506493,0.06032469987869263,0.0,0.075,0.29797979797979796,0.08,0.3313253012048193,0.63,0.608,0.295,0.22,0.6707317073170732,0.08243727598566308,zwd9ir5y,2025-05-11T03:16:49Z,guru15k_mix_qwen_7b_shiboshibo
15,0.575,"{'artifact_path': 'wandb-client-artifact://gr0g0cdcsly7jcaccttgq5ihb90bjmmuo47ag6ch9vigbtrk2lhiza10y5uuda0nb9a0qsmwv8b51c4xjmlniz9dhkgjibn1lsbu54gnoezonpx8hm5wk52798jqnkif/val/generations.table.json', '_latest_artifact_path': 'wandb-client-artifact://df5k19b39rg05rufv4rp6gvaq8zj19bcf8i8xxm3vi4sei3bhkp5a08njkidsl7xjslbumzdp3gt8e297rpetsd2tjuo1hnxcp5ftk7zooyoog45m3ktrozqc4fsu3xv:latest/val/generations.table.json', '_type': 'table-file', 'nrows': 4, 'path': 'media/table/val/generations_14_5395085625b0636a68da.table.json', 'sha256': '5395085625b0636a68da9f1f1b5d9b8179ede062650f84683ff49b1bca46215a', 'size': 408022, 'ncols': 91}",0.18181818181818182,0.19765487603843213,0.015,0.1125,0.25757575757575757,0.075,0.3795180722891566,0.605,0.678,0.305,0.23,0.7073170731707317,0.08243727598566308,zwd9ir5y,2025-05-11T03:16:49Z,guru15k_mix_qwen_7b_shiboshibo
20,0.595,"{'artifact_path': 'wandb-client-artifact://314rob9rr5rgu128ekvexif0fbmq1nyudoxtdssb6bx72qf1yjnc123v14azbqkpvri4fuhz5rfa94ejrho5vjnzxm9pf9y5nrr3plu8qd7ha5fb6tr21bnsgh680208/val/generations.table.json', '_latest_artifact_path': 'wandb-client-artifact://59r8y73b0j0gnxflmzmnwi5stb11gusa4k26wae5rm6khhaihkobla5pzshr7hw8grmjafjtlvof7u09si2ivm4i0ozufx8072nbrohdump3rjo67arr5r34gghvfznt:latest/val/generations.table.json', 'ncols': 91, 'nrows': 5, 'sha256': '26dc66b51d367398e3247f17094fc85bb600d07eab9cbd75df1f8f44f466c47d', 'size': 509232, '_type': 'table-file', 'path': 'media/table/val/generations_19_26dc66b51d367398e324.table.json'}",0.2077922077922078,0.3097493463382125,0.0,0.075,0.2727272727272727,0.13,0.4066265060240964,0.68,0.676,0.355,0.33,0.7439024390243902,0.11469534050179211,zwd9ir5y,2025-05-11T03:16:49Z,guru15k_mix_qwen_7b_shiboshibo
25,0.645,"{'_latest_artifact_path': 'wandb-client-artifact://p3st0p18pvzr8m3m1m4dnwoy5cf5r9w1yp8oy7kl7icst8h893msr8kmv0fdcxn3z45a4a049y9fyv67dji3qjub6snoz0urxijexekuxc491ys3zkq2vl8w35z74vee:latest/val/generations.table.json', '_type': 'table-file', 'ncols': 91, 'nrows': 6, 'path': 'media/table/val/generations_24_effaa22c47b3920a7c89.table.json', 'sha256': 'effaa22c47b3920a7c894468828cfa0495dc16a31202c35d7bb4bdc7349c3fd3', 'size': 612386, 'artifact_path': 'wandb-client-artifact://xyrj90jdh6013y275wy7sny9qaf53o3w3id8r2sdm4likgt3avt5zdm4yjpq94cno3t2tlyp299exyx3hsbg4gp8t1ruzkj88qu3ychqk0jozcpegfg6uc3rgbp0tw0w/val/generations.table.json'}",0.19480519480519481,0.32237557202577594,0.025,0.12083333333333333,0.23737373737373738,0.08,0.41566265060240964,0.675,0.716,0.38,0.32,0.7317073170731707,0.12544802867383512,zwd9ir5y,2025-05-11T03:16:49Z,guru15k_mix_qwen_7b_shiboshibo
30,0.69,"{'path': 'media/table/val/generations_29_e0c558528274cae2bbd9.table.json', 'sha256': 'e0c558528274cae2bbd97984cc1b96bf0c3c073a747b266b4f7d31d1c96374c3', 'artifact_path': 'wandb-client-artifact://3ewylk3ydyvntlnpfwvgkvdh25tcnm9bnwkgls6a7jze8zossfu6lc7znazc5xmss2eesb9tx3mzjtwfnz1k8dudxzzyk1hue797oshapa48gestybavc8xch4kwti0v/val/generations.table.json', '_type': 'table-file', 'size': 725757, '_latest_artifact_path': 'wandb-client-artifact://vhjyohzehp39322asbtfft4bjl4ak88ng1048e11e9zl8cgsuu7xffmn5b7bfdosr3s78lwx6zcpdpcx3l3gksurcxqg9q2bukmtwyw86r3y6qylq9wcfb0dp14ymheg:latest/val/generations.table.json', 'ncols': 91, 'nrows': 7}",0.23376623376623376,0.3366850622370839,0.025,0.13333333333333333,0.25252525252525254,0.13,0.45180722891566266,0.625,0.732,0.37,0.4,0.7682926829268293,0.12186379928315412,zwd9ir5y,2025-05-11T03:16:49Z,guru15k_mix_qwen_7b_shiboshibo
35,0.68,"{'_type': 'table-file', 'ncols': 91, 'nrows': 8, 'path': 'media/table/val/generations_34_1116e929bf95a43ba261.table.json', 'sha256': '1116e929bf95a43ba261d2173b03078aadd15f4fa74c1be0f1091cb1f9a03c74', 'size': 835437, 'artifact_path': 'wandb-client-artifact://z54x0o919ohc8lucn6eda5kk3zy89hlicaws24ybbk5bpsu8xpz117o9rd0hi7g09i59tjeecfot1p3yltx9dhnpeh666on17o37sbx0ho7y25jmoi98sb8j8y9gke1j/val/generations.table.json', '_latest_artifact_path': 'wandb-client-artifact://evf5yz7c5qbtr7g41j9b27aku581ggp6ndy1a7kx6yy8y9h8ftle6pnydonvxiire3j4f588ilnfksarxwyddfqy5uqagj92zgffial4qejisr8g1dlx8o6herwhyrnf:latest/val/generations.table.json'}",0.23376623376623376,0.34481073312461374,0.04,0.10833333333333334,0.20202020202020202,0.12,0.45180722891566266,0.705,0.736,0.39,0.46,0.7439024390243902,0.13978494623655913,zwd9ir5y,2025-05-11T03:16:49Z,guru15k_mix_qwen_7b_shiboshibo
40,0.685,"{'sha256': '88d36806d052618544012d6e0bb811be2925f9b67d4d8e46e4a539992557486d', 'size': 944541, '_latest_artifact_path': 'wandb-client-artifact://87nkksru3i3t5llfwc74m9wcp3e3v064rljggdhhaga0mh3fkk7rhwusxqdo7sq7vxpm4tnzxh8zp2sb1ma4d8g60s41qa1leintxduq6bx6y5lk1yuqkgbbn88vs64w:latest/val/generations.table.json', '_type': 'table-file', 'ncols': 91, 'nrows': 9, 'artifact_path': 'wandb-client-artifact://zqushgrcr8s74n9qn6a5dhzp4p1vp92dn0xrjw7jsmaxp4rx6tkat0ktatssx9my9851b9klnk0xdttsebi7isbg11ylior8a7w4q3maznenxctjaauxozof9z8zrhc1/val/generations.table.json', 'path': 'media/table/val/generations_39_88d36806d05261854401.table.json'}",0.23376623376623376,0.36078141801059244,0.025,0.1,0.24242424242424243,0.125,0.4397590361445783,0.72,0.718,0.4,0.46,0.7926829268292683,0.15053763440860216,zwd9ir5y,2025-05-11T03:16:49Z,guru15k_mix_qwen_7b_shiboshibo
45,0.725,"{'sha256': '7932ba767169c2f7e458912431fa5eeb37887821299ea11536fcd693d6bdda1d', 'size': 1048586.0, 'ncols': 91, 'path': 'media/table/val/generations_44_7932ba767169c2f7e458.table.json', 'artifact_path': 'wandb-client-artifact://y9zzea58q6ko9z9rmm6xxup1ljyzskcowwofpy3fx16zdw2xe9n1eq3hcdtfdvj2aszn9hjyj6tvt63u2rdqp7wsr3kttm295x1uzkiwd6cralo091j1xi8uaxl8t4bq/val/generations.table.json', '_latest_artifact_path': 'wandb-client-artifact://764obe4hhy3b3354q3e1ten69a93vgbwmoneblvivqhgtmccqvgts7xaywg13ufl2mquxq7zezsn18crm0qb5f44uqp5e0xz6xvp7fdv8h50497fpafldxfj5wjye8ik:latest/val/generations.table.json', '_type': 'table-file', 'nrows': 10}",0.24675324675324675,0.35194762583822015,0.035,0.12916666666666668,0.2474747474747475,0.11,0.4066265060240964,0.675,0.734,0.395,0.48,0.8292682926829268,0.15053763440860216,zwd9ir5y,2025-05-11T03:16:49Z,guru15k_mix_qwen_7b_shiboshibo
50,0.71,"{'artifact_path': 'wandb-client-artifact://5msbid7s0j6p2hi8vajhadutv3xzvh4a7lx8rfuym42s1aavuit80j2dteibat7o14qq3yszvgw3izm9quhh1zrcumzve2pt7cn1dm0bxmqah2t9l7ivm2knsl4th2tk/val/generations.table.json', 'ncols': 91, 'path': 'media/table/val/generations_49_2da1ba97914f32a9a7f0.table.json', 'sha256': '2da1ba97914f32a9a7f01c1a192276f78a4e0607f128e59a467d5b93beee7617', 'size': 1146763.0, '_latest_artifact_path': 'wandb-client-artifact://a3v7rtfuru83kmucaeuk9l1ki2nnylxvsijp94aa54cmsy033wsvetsafg39ca3dxlifoc2cpptd98ty5vwanik8jadqojpp12totxjkakri9ic36mrcnczjyzlm08zm:latest/val/generations.table.json', '_type': 'table-file', 'nrows': 11}",0.2077922077922078,0.32564237251877787,0.04,0.15833333333333333,0.21717171717171718,0.13,0.4397590361445783,0.73,0.76,0.405,0.43,0.7987804878048781,0.1935483870967742,zwd9ir5y,2025-05-11T03:16:49Z,guru15k_mix_qwen_7b_shiboshibo
55,0.74,"{'size': 1255620.0, 'artifact_path': 'wandb-client-artifact://810gtyf4t8higlxpoi81surpnq2v23lm95iptjfb285oi6bjsyci4xztcwzp4rzba8367q4civ582fpedlcgkdg0omv7ordhxgiw44h1v0p08g581mqt06e7gcybfciz/val/generations.table.json', '_latest_artifact_path': 'wandb-client-artifact://egvugawfa90upbtun7paviuh4a9wm4t4b92vq00k0o9ksuzfepb4qq4fr67wrrzqsz3ahpv6oegy5hb5la8bs3gva1azn0ta1tv8nac5xv93o05op7zqivvaqv94e1r6:latest/val/generations.table.json', '_type': 'table-file', 'ncols': 91, 'nrows': 12, 'path': 'media/table/val/generations_54_41419712006f0a587ba9.table.json', 'sha256': '41419712006f0a587ba9d4cb179f020c42a311717a15829da99ea0107b04664c'}",0.2727272727272727,0.343626943230629,0.06,0.125,0.2828282828282828,0.12,0.45481927710843373,0.71,0.732,0.37,0.52,0.8048780487804879,0.16129032258064516,zwd9ir5y,2025-05-11T03:16:49Z,guru15k_mix_qwen_7b_shiboshibo
60,0.7,"{'path': 'media/table/val/generations_59_46e7d63623a2057011f3.table.json', 'size': 1363510.0, 'artifact_path': 'wandb-client-artifact://scm4h2r3btafgy5z6oontamg3sqa44zlxknrusvnkvkfdpb72v1gy6ybfa0kokdkwws95rv3mqp1wkkq98j4v803qqtptcd7lsrrhbi1chplzsyy1vczmxtthon6v9j8/val/generations.table.json', 'ncols': 91, 'sha256': '46e7d63623a2057011f327bc83965ecf8f2f45567bc82318ae5dcbd3625a3d43', '_latest_artifact_path': 'wandb-client-artifact://u0a4jgio381jjtc98dvn97rol42burlx12ae1qobg3bjhwz41y1tcr3tsb0vedun4pf1qbk5caey5i88bpr96x088szfuzabcytcl3ji2absb90w0hs32ecjrcb8ijn5:latest/val/generations.table.json', '_type': 'table-file', 'nrows': 13}",0.24675324675324675,0.27501134425401685,0.06,0.125,0.21212121212121213,0.14,0.4367469879518072,0.705,0.748,0.405,0.52,0.7804878048780488,0.16487455197132617,zwd9ir5y,2025-05-11T03:16:49Z,guru15k_mix_qwen_7b_shiboshibo
