_step,val/test_score/simulation__arcagi1/unknown,val/test_score/stem__supergpqa/m-a-p/SuperGPQA,val/test_score/table__multihier/unknown,val/generations,val/test_score/codegen__mbpp/mbpp,val/test_score/logic__ordering_puzzle_dataset/unknown,val/test_score/math__amc_repeated_4x/unknown,val/test_score/math__math/unknown,val/test_score/math__aime_repeated_8x/unknown,val/test_score/logic__graph_logical_dataset/unknown,val/test_score/table__hitab/unknown,val/test_score/codegen__humaneval/openai_humaneval,val/test_score/stem__gpqa_diamond/Idavidrein/gpqa,val/test_score/simulation__codeio/unknown,val/test_score/codegen__livecodebench/LiveCodeBench,val/test_score/logic__zebra_puzzle_dataset/unknown,run_id,run_created_at,run_name
0,0.025,0.245,0.305,"{'_latest_artifact_path': 'wandb-client-artifact://m08r3ve2ajpo2s1tuoxityvc4s7hpf59oi4cp2dhxxpgi97vzyph9ri64scfrm3a2ikxw6kc3xg1e9r2v2yc73td7w1mqx8f8emtio6k6zbe6kx64zp2vzsrskww4kub:latest/val/generations.table.json', '_type': 'table-file', 'nrows': 1, 'ncols': 91, 'path': 'media/table/val/generations_0_982aed3e28e432c2e368.table.json', 'sha256': '982aed3e28e432c2e368fd14785c836bb8d9d46c8a2ab4530325e89da1d24e32', 'size': 88285, 'artifact_path': 'wandb-client-artifact://qy3bukztwdsggr5392i53elp25rjmkefzy8505jpttbkbcoxk228pqtxeukjzpc4n77vo72uecx6uy2gt7pc2stqk3eiggpnw9c7x5bpzx6pfq5it4yeeuqs3p6b0pam/val/generations.table.json'}",0.66,0.28,0.30120481927710846,0.57,0.05,0.06493506493506493,0.49,0.725609756097561,0.2866161616161616,0.08,0.10752688172043011,0.041123918639495965,90fg2lx2,2025-05-14T10:33:53Z,71130-zhoujun-logic3k-guru18k-models--Qwen--Qwen2.5-7B-think
5,0.02,0.29,0.295,"{'sha256': '29d678afa56cf034b2f2f0053b7d82220730a71d355100da1a0fb63a7a88cb94', 'size': 171202, '_type': 'table-file', 'ncols': 91, 'artifact_path': 'wandb-client-artifact://ghssmvlbe8x1cn9jhz5ir93hvse7ycrwyjqf92ghgvukoel2fmizw0yr966ln2f90nbwdkl1j1h774pf6johl3va1o5rhfg8gw70qa7mn7vmyownuvc63novn5zrbaje/val/generations.table.json', 'nrows': 2, 'path': 'media/table/val/generations_4_29d678afa56cf034b2f2.table.json', '_latest_artifact_path': 'wandb-client-artifact://zgqxh257n7uo6refh60413nxcem5gdlvzctyaifly0dp5jdis138y7smjjrpkeg6vk07p0yjts3wjooo3odfjztshnip1kwpra87diep8ctghvzhv2nr3na4xgnh2yat:latest/val/generations.table.json'}",0.655,0.23,0.2921686746987952,0.556,0.041666666666666664,0.09090909090909091,0.405,0.7682926829268293,0.2727272727272727,0.065,0.08243727598566308,0.06376125376671553,90fg2lx2,2025-05-14T10:33:53Z,71130-zhoujun-logic3k-guru18k-models--Qwen--Qwen2.5-7B-think
10,0.03,0.235,0.235,"{'_latest_artifact_path': 'wandb-client-artifact://hec7f34wj0assu6nbtfllb5ieyizpclf9e9fb0071tovzs234io134jm3jsjb3ao59h2mmhgb55cdhbt8l60zn765a32oypdbqz9m70g00v6oktu3ds237g95suetqkr:latest/val/generations.table.json', 'artifact_path': 'wandb-client-artifact://xli1dpxqix18yswo3lvijfoglo9bjcoywln918x48j9mbhiy4bk530z7zy3pfvy728f5oen503qnd6apncz2mxgfq7v26to3xyo9q10v61ga9svp2rdsypu87mcrxdel/val/generations.table.json', 'sha256': 'e263c137b1b6cf336f53041e27e07b45c7252b3e058ead142dd3205a21cf7512', '_type': 'table-file', 'ncols': 91, 'path': 'media/table/val/generations_9_e263c137b1b6cf336f53.table.json', 'size': 247751, 'nrows': 3}",0.655,0.26,0.3253012048192771,0.604,0.04583333333333333,0.12987012987012986,0.48,0.7195121951219512,0.2967171717171717,0.055,0.0931899641577061,0.26370179306715724,90fg2lx2,2025-05-14T10:33:53Z,71130-zhoujun-logic3k-guru18k-models--Qwen--Qwen2.5-7B-think
15,0.05,0.27,0.285,"{'_type': 'table-file', 'ncols': 91, 'sha256': 'dd6a08ec65f9e50da1edfeebb50a4ec7dac85c6b88cfd1fbe4d2742c5e904676', 'size': 326897, '_latest_artifact_path': 'wandb-client-artifact://rgp91g76a6gqfbu2yhyq4h2mphcznh6fohs9nurzl8ckkyda5vt7db6yb2gasplr4qhk15trlj0by9nczjv9jcrzw297vruwmt435xe913z1qnkma23ly47hjx1rxhlu:latest/val/generations.table.json', 'nrows': 4, 'path': 'media/table/val/generations_14_dd6a08ec65f9e50da1ed.table.json', 'artifact_path': 'wandb-client-artifact://xwitobqj4we5d3m2o2yzujvwy0384uzbj3kd1oha4m5wez9oayfrpe0izre5q5m1g4a8chg0snej7157cc71lacp7a4nw24vzl62dvbxgk9uid03lu92p3n0sjtnge4u/val/generations.table.json'}",0.69,0.4,0.31626506024096385,0.578,0.04583333333333333,0.16883116883116883,0.475,0.7378048780487805,0.34974747474747475,0.08,0.1039426523297491,0.3525084502249956,90fg2lx2,2025-05-14T10:33:53Z,71130-zhoujun-logic3k-guru18k-models--Qwen--Qwen2.5-7B-think
20,0.055,0.265,0.265,"{'size': 400694, '_latest_artifact_path': 'wandb-client-artifact://aoaqpg5wcvlyibt3k8fznvsib9166p7apgl7m17vki769eoqatn324jowfq4px2ut16yercqct78xevi3hiin4zzqpksj5lirzprn3sjfpfpe7d9w312r1s00yhp1qqr:latest/val/generations.table.json', '_type': 'table-file', 'sha256': '500804dfc2ff8fc586a81b30c4ae49777673f6e15eea553b9dd19442a56d39b9', 'ncols': 91, 'nrows': 5, 'path': 'media/table/val/generations_19_500804dfc2ff8fc586a8.table.json', 'artifact_path': 'wandb-client-artifact://z1ri49eoac6a9q17dhxeqjytebfxfyd34s2s5yosu1xsa499rhgtd0px6oz6g9ip4tuauq8iigaxv8ca08nf4ih7xplg9b314w0txp9ogsq81axvzzakoc8m5sopv4e3/val/generations.table.json'}",0.71,0.46,0.3433734939759036,0.63,0.0625,0.2597402597402597,0.5,0.7560975609756098,0.32196969696969696,0.055,0.1111111111111111,0.3703963676095009,90fg2lx2,2025-05-14T10:33:53Z,71130-zhoujun-logic3k-guru18k-models--Qwen--Qwen2.5-7B-think
25,0.065,0.225,0.275,"{'path': 'media/table/val/generations_24_f0ba3d2e6f3f5aaad4cf.table.json', 'size': 475429, 'nrows': 6, 'sha256': 'f0ba3d2e6f3f5aaad4cfbe96cefab9c2d87ae60a435b3f21a779e053db1e5d63', '_latest_artifact_path': 'wandb-client-artifact://vcy072pfsngau8ktwu2tpq4qyqwcywh2dhpsm5gxo3zfcjq3xx9wx89kttfxgqzhf6y419nkcx1ygiheoeypqftq4eyxwtw26bgzp3id3tyzavja4xbmqrcxan4oq3xr:latest/val/generations.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://789z0cvpc1fxa8a2oeefffxzd1ij89p9f6fflbl5flykfl2pv7rmpf3emwc118stwkph0sh32m4dkytilu8cwbrikotk92u0s7t4sse0wr35l433qs5u310wtgj9pnkw/val/generations.table.json', 'ncols': 91}",0.735,0.5,0.35542168674698793,0.642,0.07083333333333333,0.2857142857142857,0.53,0.7621951219512195,0.3472222222222222,0.075,0.1111111111111111,0.3853100866824388,90fg2lx2,2025-05-14T10:33:53Z,71130-zhoujun-logic3k-guru18k-models--Qwen--Qwen2.5-7B-think
30,0.075,0.295,0.315,"{'ncols': 91, 'nrows': 7, 'path': 'media/table/val/generations_29_3fba9846cc434a0971cb.table.json', 'sha256': '3fba9846cc434a0971cb2c57929a6cb1deb7a95eb77dd8d01309274c2a7283d4', 'size': 578311, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://0d1oxk2q17g5g2nk9akdoo3xcg5ek2mlsqb9cagjle59htdt8e44a9cs6yhij78cgmr5qkcgkzyfb7g8uheumzlb7nonsr4t2khcztaendxj15xf5ewrf9xe4sj62vke/val/generations.table.json', '_latest_artifact_path': 'wandb-client-artifact://ngi4lxmq94lzwf1v3tce8vnqnah1iwg8r6dghrzhtt4yd8myvws646k8bmc8ib3epl4jj3l5nnh0tdugmkqweqq6lnc3yvsy1d33bjeqbotft07lh3w880097uu0mn0f:latest/val/generations.table.json'}",0.735,0.49,0.3253012048192771,0.634,0.06666666666666667,0.2987012987012987,0.545,0.75,0.33080808080808083,0.075,0.07526881720430108,0.38970255374908447,90fg2lx2,2025-05-14T10:33:53Z,71130-zhoujun-logic3k-guru18k-models--Qwen--Qwen2.5-7B-think
35,0.08,0.24,0.265,"{'path': 'media/table/val/generations_34_9dd6654c84d604232b5c.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://mssp6uiz9e0puo3bmyszw9kf1pb6l8mgc94efgx8kw9ufbaz9t8y5jkcp9866zopozlkbpnndcj6drghv1k08ysmu17anqmp5z1p5milnquy6ghwowlilhsmmt24zy35/val/generations.table.json', 'ncols': 91, 'nrows': 8, 'sha256': '9dd6654c84d604232b5ce8c56f00fdfe842cabeb12611c61a74a29bcf944ec64', 'size': 688852, '_latest_artifact_path': 'wandb-client-artifact://tk4zeml3o0avgm01git73kh75u2pr1brl38fyok4yc26dcus6tvgq1af26v20a5hyay6e2k0pijp4sdt4rwx0sv73ts4zvsqok6e7a69wx1nq9rg2ydbml3tm0bx7itu:latest/val/generations.table.json'}",0.72,0.51,0.3674698795180723,0.65,0.04583333333333333,0.36363636363636365,0.55,0.7682926829268293,0.3333333333333333,0.08,0.1039426523297491,0.39360911294817924,90fg2lx2,2025-05-14T10:33:53Z,71130-zhoujun-logic3k-guru18k-models--Qwen--Qwen2.5-7B-think
40,0.065,0.265,0.275,"{'_latest_artifact_path': 'wandb-client-artifact://lttwv8r1jthrkq88c77d4f83glb1z8mcpx9ydmzu53pi471ko3zm0kod3lre44n29iaba24xnmbzkskb3o5zdge02himsf8iix7iyxhj0xmnkio66kwuwal0y4dyp3jt:latest/val/generations.table.json', '_type': 'table-file', 'ncols': 91, 'nrows': 9, 'path': 'media/table/val/generations_39_543cfb7951de0f1d501f.table.json', 'artifact_path': 'wandb-client-artifact://98szbak9fhwup16zw4o5oa4iaufpvsq66xdy79ld4mslf3dzr01lcv7yxmd0z9qd6pmexa5m9ld7n76i9my3pdecrhdmgnub4wdjatqvvcz0u7y5udjxczugs966nvg6/val/generations.table.json', 'sha256': '543cfb7951de0f1d501fb342a544282a9140a774c878ecc42369922b1d9dbb5b', 'size': 761760}",0.7,0.57,0.3493975903614458,0.616,0.05416666666666667,0.37662337662337664,0.565,0.7682926829268293,0.3194444444444444,0.05,0.12186379928315412,0.4061829072237015,90fg2lx2,2025-05-14T10:33:53Z,71130-zhoujun-logic3k-guru18k-models--Qwen--Qwen2.5-7B-think
45,0.075,0.275,0.22,"{'_type': 'table-file', 'path': 'media/table/val/generations_44_76b10c9654cb0c83b56c.table.json', 'ncols': 91, 'nrows': 10, 'size': 833116, '_latest_artifact_path': 'wandb-client-artifact://j6y809up4x1byufoi36md2zfbomnpcua3x67jao01ql0zm4wbwwxhjar2d2ycc7oeg2kc9hv6a4r04k2kne82ba3hvhxpam231mjmf7grzgv0dbkqbmj4zudonk5nkts:latest/val/generations.table.json', 'sha256': '76b10c9654cb0c83b56c894508b20898d172dbeba2a5423fdf0ef0f99e39abf4', 'artifact_path': 'wandb-client-artifact://r2hyuihi1fa52nmy8obv13kk1ccwdzdv0hu3lxep5odpr0p4o7m55j5joewa7nxfpvng8ur1enfxncdl7b9mc37e8swe4bal9p8l19s3hbf8fpdsfr74quey9itkbesb/val/generations.table.json'}",0.72,0.55,0.33433734939759036,0.604,0.07916666666666666,0.4025974025974026,0.555,0.7804878048780488,0.3560606060606061,0.065,0.08960573476702509,0.4099856095761061,90fg2lx2,2025-05-14T10:33:53Z,71130-zhoujun-logic3k-guru18k-models--Qwen--Qwen2.5-7B-think
