_step,val/test_score/simulation__arcagi1/unknown,val/test_score/stem__supergpqa/m-a-p/SuperGPQA,val/test_score/table__multihier/unknown,val/generations,val/test_score/codegen__mbpp/mbpp,val/test_score/logic__ordering_puzzle_dataset/unknown,val/test_score/math__amc_repeated_4x/unknown,val/test_score/math__math/unknown,val/test_score/math__aime_repeated_8x/unknown,val/test_score/logic__graph_logical_dataset/unknown,val/test_score/table__hitab/unknown,val/test_score/codegen__humaneval/openai_humaneval,val/test_score/stem__gpqa_diamond/Idavidrein/gpqa,val/test_score/simulation__codeio/unknown,val/test_score/codegen__livecodebench/LiveCodeBench,val/test_score/logic__zebra_puzzle_dataset/unknown,run_id,run_created_at,run_name
0,0.025,0.24,0.305,"{'size': 88285, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://zwqj1zylyh6gnejp7vtzp5a4sub45ypkieoy6qiaa644fs1dki30aq8kqo14f9onbmu825n3zy6t36jp1imujnz8jvsoqm4o5z31dmtid66pu50xketqiao34lwtx9ao/val/generations.table.json', '_latest_artifact_path': 'wandb-client-artifact://kfmjhlyjqnvuzqf45dflb18vmjsslqoezxwtkriqbt1079kjjlehpm5ruhs0cw8jsmnesaw896oxxab77k3oivjbweooi2xo524lwsjasnisxdjbgi0tgn5v3b84lk7g:latest/val/generations.table.json', 'ncols': 91, 'nrows': 1, 'path': 'media/table/val/generations_0_982aed3e28e432c2e368.table.json', 'sha256': '982aed3e28e432c2e368fd14785c836bb8d9d46c8a2ab4530325e89da1d24e32'}",0.66,0.28,0.30120481927710846,0.57,0.05,0.06493506493506493,0.49,0.725609756097561,0.2866161616161616,0.08,0.10752688172043011,0.041123918639495965,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
5,0.01,0.26,0.315,"{'nrows': 2, 'size': 208461, 'artifact_path': 'wandb-client-artifact://f5gbwci0m6qc16jadlt15en8u1yfjpf60le4gms2ehefls1vzc83tbo534fxjnryhlulmwsxd79sxmmo9v5n2z34rx97c13olhrshv373toikbbrbn6dwspqjmd2ltyc/val/generations.table.json', '_latest_artifact_path': 'wandb-client-artifact://g9tuufx5xb36yrnn5669l159n5hrmbqwley92y1dm1zra4jdwuyo6upt09v8geujje1gm6h3k7czvrjd1iq4suhzmowsve4uouqqposfnpadax68rcoj1ligxkjenmyr:latest/val/generations.table.json', 'path': 'media/table/val/generations_4_0fd7694a8e78be75edc7.table.json', 'sha256': '0fd7694a8e78be75edc71c984c0e0c119725fc23064b4e8385a16f8c2702903a', '_type': 'table-file', 'ncols': 91}",0.67,0.24,0.3102409638554217,0.582,0.0625,0.05194805194805195,0.475,0.7439024390243902,0.29419191919191917,0.095,0.1111111111111111,0.031231061057187617,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
10,0.01,0.26,0.28,"{'nrows': 3, '_latest_artifact_path': 'wandb-client-artifact://6jk9muleltkdbsngzxwlsexi2f05oufyyvy14vwlir77qqf4ud7zi9jnl3soa87pptg2qhy43ivdfervko7v8871vfktua1euhjzr5s4yv5b35f5wa795cjqdvbx2x99:latest/val/generations.table.json', 'artifact_path': 'wandb-client-artifact://7j6kcr62ndl5dacw1gsrgzszmasap8jp03vcds4ymmrkjbxddx6kfdyuj1q228p7sdb7ffq1egotjk9huq0avh17jttvqlsul88r2inpay7uvqzi93kg5taywux4ow7m/val/generations.table.json', 'sha256': '7c80e148674a2572fd31d31fb4aa33b1b731af573153cfa1542c58e7bca12eae', 'size': 323562, '_type': 'table-file', 'path': 'media/table/val/generations_9_7c80e148674a2572fd31.table.json', 'ncols': 91}",0.675,0.22,0.3795180722891566,0.668,0.0875,0.03896103896103896,0.44,0.7134146341463414,0.2916666666666667,0.075,0.08602150537634409,0.019566739313304424,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
15,0.015,0.235,0.315,"{'_latest_artifact_path': 'wandb-client-artifact://fjkgr4304vmbsw8ip3quetohqr386rcy0ozpwphyjd5621atp33t30vmofsuq3fcvex11isonf346y5dnt6s0u72o4l26fjolko8yzazs6jhsre9xc10xvq14k8cdcep:latest/val/generations.table.json', 'ncols': 91, 'artifact_path': 'wandb-client-artifact://2eh51hwjx3c0sil81u9m0iq3tt0axaewl8anrgra1vczdrt1ungchdi9lq89em9yzpjlrpml1evjdotytu9b0getl6xk4minrwanhbjrxgii2ftnmdv2fgcsfh9e8jvc/val/generations.table.json', 'nrows': 4, 'size': 414712, '_type': 'table-file', 'path': 'media/table/val/generations_14_57a3b5b4365f474bf203.table.json', 'sha256': '57a3b5b4365f474bf20314615e63c2f44fb1b74d73b63126d35bcd9c8c3e82bc'}",0.68,0.28,0.39156626506024095,0.718,0.10833333333333334,0.09090909090909091,0.52,0.725609756097561,0.3611111111111111,0.06,0.08602150537634409,0.02002976218238473,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
20,0.015,0.24,0.275,"{'size': 508681, 'artifact_path': 'wandb-client-artifact://bjlp3emf5dhg60d5rx6b8hl5l3n4d2hzr41ob8kk2fduy0mqysr11y5cc65n58wy5q2mutdlcpsbw7ytr1dkhw11wau2lymu3n53ccqx0i0r7efergj6721uqtfd8eiu/val/generations.table.json', 'ncols': 91, '_latest_artifact_path': 'wandb-client-artifact://dz0h9vj4bfzj77ssu1k80t2xekrtuqa4hm4yiwitl9arznv17ymkzm0bhzdre8dkzvimgo8p4hbppsknguteg4rupwqvvghnaw22ybqcucpst2zg6aniubcumcliirxg:latest/val/generations.table.json', '_type': 'table-file', 'nrows': 5, 'path': 'media/table/val/generations_19_cfe1c0163e121b4ddeac.table.json', 'sha256': 'cfe1c0163e121b4ddeaceef3d2f64e72c0a09a695abfba7aba995d7fb0d00208'}",0.685,0.3,0.45180722891566266,0.726,0.1375,0.025974025974025976,0.485,0.6951219512195121,0.32575757575757575,0.07,0.1039426523297491,0.014065476506948471,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
25,0.005,0.28,0.315,"{'_type': 'table-file', 'path': 'media/table/val/generations_24_be42219a529be6b4b1e2.table.json', '_latest_artifact_path': 'wandb-client-artifact://pz6qr9cidsak59dqlkyp41bk4rk5r35owky9e084izpo8jp1mfwq2mrdfristlidr0jezjr2czy4gtk2t4b2e9fjyyrd4nhs34vnu6alczx1lprzapisc6qc9dpf76np:latest/val/generations.table.json', 'artifact_path': 'wandb-client-artifact://kukdbxygudqwwj0fbrt8cv7iqutz56u8idn46pa0lo86weebzgrrmnauzir4z2omugychglkzd4e74dluxb8ufa56pifrr65iz329pm8gs4ba0kgm1objuase2lvct81/val/generations.table.json', 'ncols': 91, 'nrows': 6, 'sha256': 'be42219a529be6b4b1e2a665fefc0bdd683bae77ca67a8c6b1524d2ba721c731', 'size': 653808}",0.695,0.27,0.41566265060240964,0.738,0.14166666666666666,0.05194805194805195,0.485,0.7317073170731707,0.3207070707070707,0.055,0.08960573476702509,0.014597222325392067,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
30,0.02,0.255,0.295,"{'artifact_path': 'wandb-client-artifact://36d9ciupt6hg0otycm8x5hu6mxsqotoiodvhh9xtdq3ojisznn4xuqs69ay2p4c00wjd6e1pljcl565xnhohb71pw1vkgtqogmpauctgkke6p4uvydgzbtxitmreahrl/val/generations.table.json', 'ncols': 91, 'size': 778850, 'path': 'media/table/val/generations_29_b2d30cb6cc0a65479d79.table.json', 'nrows': 7, 'sha256': 'b2d30cb6cc0a65479d797deff59b39ba941fca51004a8d4c179a9942953907d2', '_latest_artifact_path': 'wandb-client-artifact://7dpvfcis759hgkhxyeaif4i1ptcxis2iawtgidssthequojr8435gw0oqguqpld4h0cso9o6xafld71w9p6123ivtkewnfd40vx594boz7gyqtaw6gib7uanvnjp118j:latest/val/generations.table.json', '_type': 'table-file'}",0.665,0.25,0.4307228915662651,0.744,0.13333333333333333,0.06493506493506493,0.485,0.6341463414634146,0.31691919191919193,0.055,0.08960573476702509,0.013809884823858738,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
35,0.03,0.225,0.31,"{'size': 885775, 'nrows': 8, 'artifact_path': 'wandb-client-artifact://n1ualwfn4imlof7ujuch5bz74o92ts4zc5b1khn5t6ds76te4qz2dwuy3y3h9swi846ctusvksmzzmxes0cjahjadje40ovy4ffhr4rtt4mgy546xks1cft894s8rd7o/val/generations.table.json', 'path': 'media/table/val/generations_34_b15be24d0c530cb9de10.table.json', '_latest_artifact_path': 'wandb-client-artifact://y4siq7fp9juovchhh04nr90vpu17hu78j9rn3pbbfr8sz6jyt0qa0rfgsqka5jyzq5u5o98lu24h5dc3j571gvws1eek964b9vt0q1vqp3r1wugfqxfctvme3dpqt92m:latest/val/generations.table.json', 'ncols': 91, 'sha256': 'b15be24d0c530cb9de10e1a91af25a94cf91cbaccef4abcf828d6a2c0ad97f7c', '_type': 'table-file'}",0.68,0.25,0.46686746987951805,0.706,0.14583333333333334,0.03896103896103896,0.49,0.6280487804878049,0.31691919191919193,0.05,0.11827956989247312,0.014333333745598793,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
40,0.015,0.25,0.33,"{'_type': 'table-file', 'ncols': 91, 'sha256': '74e8805e4737b02ac1d2d6b5e013485ede5c7ac5fb456457daa3229e66343356', 'artifact_path': 'wandb-client-artifact://7vv4v3ct3l31g1ze6y0r3bbw4wnyqh0fiy7y9o6972bi9e4jwxxyolrb7jm8dt9ngdg2buo6khfeq7hyy3ybg1lyi0vs6gr0mlmrfbm154jfrkenncu68xcg52hkxqkv/val/generations.table.json', 'path': 'media/table/val/generations_39_74e8805e4737b02ac1d2.table.json', 'size': 1037507, 'nrows': 9, '_latest_artifact_path': 'wandb-client-artifact://5ol8h99wni7qkb746vylk91kmudyvo5uc11zcy0y09x0u0w12ym2xiu9oso71628vrl22prbr49c8ft0in8ziubeetuaux6xs2vy64gnlot66qg55x3epvbcg5or8u04:latest/val/generations.table.json'}",0.665,0.26,0.5030120481927711,0.732,0.13333333333333333,0.03896103896103896,0.46,0.7195121951219512,0.31565656565656564,0.06,0.1003584229390681,0.005750000141561031,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
45,0.005,0.22,0.295,"{'artifact_path': 'wandb-client-artifact://s7i0xt0vzyi5lf5e9fi63ykjqm9joh248ggpech5eolytqthm237yzidyhrirfy3hpf1i1c7gap6s4ws84lrg2u26f1vi165rcm6s3qafhmtwm8o0pketlx5xn7dsnyz/val/generations.table.json', 'size': 1189973, '_latest_artifact_path': 'wandb-client-artifact://e9j2ce54bfgblm8p8s5lrga9getes1k8cv2jqktv1ggj69rwgunyx2d3uribkj7pq9bteafa0r3qc4pnuhsb2ie5uarn4hgzryhgg0k08x8squm0j1hacalbkoj1luop:latest/val/generations.table.json', '_type': 'table-file', 'sha256': '565812042eaa56ca23027dde4f605457f14902b67137cccd66e0b566ad5d90dc', 'path': 'media/table/val/generations_44_565812042eaa56ca2302.table.json', 'ncols': 91, 'nrows': 10}",0.655,0.27,0.4608433734939759,0.746,0.15416666666666667,0.025974025974025976,0.495,0.6585365853658537,0.3106060606060606,0.06,0.1111111111111111,0.0068434344232082365,cdket31w,2025-05-14T10:34:02Z,71131-zhoujun-math3k-guru18k-models--Qwen--Qwen2.5-7B-think
