_step,val/test_score/simulation__arcagi1/unknown,val/test_score/stem__supergpqa/m-a-p/SuperGPQA,val/test_score/table__multihier/unknown,val/generations,val/test_score/codegen__mbpp/mbpp,val/test_score/logic__ordering_puzzle_dataset/unknown,val/test_score/math__amc_repeated_4x/unknown,val/test_score/math__math/unknown,val/test_score/math__aime_repeated_8x/unknown,val/test_score/logic__graph_logical_dataset/unknown,val/test_score/table__hitab/unknown,val/test_score/codegen__humaneval/openai_humaneval,val/test_score/stem__gpqa_diamond/Idavidrein/gpqa,val/test_score/simulation__codeio/unknown,val/test_score/codegen__livecodebench/LiveCodeBench,val/test_score/logic__zebra_puzzle_dataset/unknown,run_id,run_created_at,run_name
0,0.025,0.25,0.305,"{'artifact_path': 'wandb-client-artifact://468q1qz6vgonqipd47ljv3wdujdr4tnueiyie6vtxnjzs4q6m0wkpwos60zkghtqbyphwby9fldjsvmqqho30sem3cdl6dgbyz2jnt82el0zh17qs34t64ytmwe6mhmm/val/generations.table.json', 'path': 'media/table/val/generations_0_982aed3e28e432c2e368.table.json', 'size': 88285, 'ncols': 91, 'sha256': '982aed3e28e432c2e368fd14785c836bb8d9d46c8a2ab4530325e89da1d24e32', 'nrows': 1, '_latest_artifact_path': 'wandb-client-artifact://rix07nrj2zvqqezqd6wpwolemev2w8j7d8kh64lfd6ard8tkci7sr5ueoef0pyktb9mbqq1lheepiqvttjf6gfdf0eqspemi2raaj4x2di84qmc0qe3rblrtg2ajfomq:latest/val/generations.table.json', '_type': 'table-file'}",0.66,0.28,0.30120481927710846,0.57,0.05,0.06493506493506493,0.49,0.725609756097561,0.2866161616161616,0.08,0.10752688172043011,0.041123918639495965,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
5,0.02,0.26,0.315,"{'path': 'media/table/val/generations_4_42def1b8c0d0f17150c4.table.json', 'sha256': '42def1b8c0d0f17150c4c91d4b835268f8311d6245e24bf3b65b6bcddc9cb7b1', 'size': 200322, '_latest_artifact_path': 'wandb-client-artifact://xhw85s8dorhge599a7b0569waupfelox0rqfkkpxc5rlcanwh7my81keso0hz7r8wo7ksiulpbvem248s1l6bex11uyb24a3zn8g276j95hhb20r51taomzqr4i3bues:latest/val/generations.table.json', 'ncols': 91, 'nrows': 2, 'artifact_path': 'wandb-client-artifact://hwu444b1b8dps1ujzg5j0b07657p4yva6ai5at65eq8iax7zci7a4mk162y6k21r3p9stbtct5hw3eybj4ar33e7ectqq29za3bdzjejimghnfeszvgwbdink9sb6120/val/generations.table.json', '_type': 'table-file'}",0.635,0.27,0.30120481927710846,0.572,0.0625,0.05194805194805195,0.435,0.7439024390243902,0.3005050505050505,0.08,0.08243727598566308,0.047342533487826584,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
10,0.01,0.255,0.31,"{'path': 'media/table/val/generations_9_ea467bdf298e1cae30d0.table.json', 'size': 283231, '_latest_artifact_path': 'wandb-client-artifact://xqle62yll3a4g3pfdgsrcdcdyakkzyhygt2ub383129jt9ca1zjzo9rc8ddmr5qcqmctbpzrd6m8xpi888kqd95o47huoqy56qhcb10qydzvow2qgnd10rdthutay9mp:latest/val/generations.table.json', '_type': 'table-file', 'ncols': 91, 'nrows': 3, 'sha256': 'ea467bdf298e1cae30d0867066e66b2bead7a1653ab416984a09b6dfdc87a414', 'artifact_path': 'wandb-client-artifact://yhcsm08rja3xy75ihz79orgwadi89ewg2exicckdsc7fn0c8jkcty44llew7xngiu7oi764umnn57bchkakemlmzdh20t9k6j7k97gkp5wkhn3lhmxwxy9gygctu3pg5/val/generations.table.json'}",0.66,0.22,0.3042168674698795,0.596,0.04583333333333333,0.05194805194805195,0.45,0.774390243902439,0.3042929292929293,0.115,0.0931899641577061,0.027551984451711177,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
15,0.015,0.24,0.33,"{'ncols': 91, 'sha256': '36062591fc5811708b8c1e5392373fd431d14ead6bcd58fb225a2370e7552008', 'size': 368755, 'nrows': 4, '_latest_artifact_path': 'wandb-client-artifact://qgpby48xngz2wwrlet5zy65xlpc8tzzor9ah0wb0dbruqcvihzdiw0a0z9hszh0zyhn5aqr6yk35cpspm08bnk62p0byp4iniec5rzh6lczbr6a9j6bgi9nki834soli:latest/val/generations.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://8skzhhxffrbp1qsib7yksc9nrg0led84cgv7b2mkzpqnmml0k8pt93nqm46omwdzfe4yte98wu1orexfe2ddqpco7dkcnsq1cfcqp6gx187djhjzsxji3o44g09est9w/val/generations.table.json', 'path': 'media/table/val/generations_14_36062591fc5811708b8c.table.json'}",0.665,0.29,0.3253012048192771,0.644,0.07083333333333333,0.07792207792207792,0.5,0.774390243902439,0.31565656565656564,0.125,0.1003584229390681,0.016830086596310138,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
20,0.01,0.235,0.335,"{'artifact_path': 'wandb-client-artifact://z55fy8yl3ebe8zqiavgpo3fy0gmdrzhmj5ulbqnzvt1udytcr695yy9iz4c4es3qdrv34bbq0t6qschgs8mi2vufsfcuy3s3oznmys6o7l8j5tah5ncoryxghni6yoha/val/generations.table.json', 'ncols': 91, '_type': 'table-file', 'nrows': 5, 'path': 'media/table/val/generations_19_b6a3a294cee2a2c6b462.table.json', 'sha256': 'b6a3a294cee2a2c6b46295fa32fc0cacc166d320c00b82028d3dd339879cb9cb', 'size': 472966, '_latest_artifact_path': 'wandb-client-artifact://umqftdj9hl8uatd7zw74obsztt5laxiz3rvowbsmjfbubk3sb10zvvv131bjco0j00edrnzcgj2w1su84n8nr9gvmahg6817cy6so4k00bx43yih2wwadcumpjljkdbe:latest/val/generations.table.json'}",0.66,0.35,0.39156626506024095,0.66,0.09583333333333334,0.07792207792207792,0.465,0.7317073170731707,0.28914141414141414,0.13,0.0931899641577061,0.018519841767847538,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
25,0.015,0.28,0.355,"{'size': 564433, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://0ztjz1iree7ob7e0b54wg6f343jup87fk6cdf0rhh3yjycp5rdxx6o2fxut1i452kqh6sp36gumhvr7rwn3byd19h90z9g3en5xqdt7bmlxhmsyi5aqp7kzar0yyzntp/val/generations.table.json', '_latest_artifact_path': 'wandb-client-artifact://xd5z1ofpszv8qbm4qzznkgv1pfvvslhieu5vmis4khz4s1lnu7s8lgi995tde1tnrxgxu6p4bj686shxzxbkjp3g3xbdrjze9waym4larg54ciqg63vr7de71ijs64pz:latest/val/generations.table.json', 'nrows': 6, 'path': 'media/table/val/generations_24_de08753409f74499730a.table.json', 'ncols': 91, 'sha256': 'de08753409f74499730aea83fce9fc513c9ebdee9a9e52f37e9b87cf89908d17'}",0.655,0.32,0.39457831325301207,0.692,0.0875,0.03896103896103896,0.525,0.725609756097561,0.31691919191919193,0.14,0.10752688172043011,0.029512626826763155,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
30,0.02,0.325,0.355,"{'ncols': 91, 'path': 'media/table/val/generations_29_c286e9e470a8fd6d208d.table.json', 'size': 701432, '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://do6ciyh17nlky0hvr3gflxftatg9dpgm6uctan7hyh4nu2s5l1zy2sfk6m4sa6f78o4kes99wnbthtqpyttl4ytem5j6qc4qvw3vmsjfmid620bzyq5fkl6et2tkhcxp:latest/val/generations.table.json', 'artifact_path': 'wandb-client-artifact://89e1s7pfuwsm8gco15xtfvej1pw8qo3598igjefq21tx0gttjh4bojoqt5z9ljdi6hbd3ttk0jc0osp5z9rmilf4cz2na4yr7wh5pdonxtpycd06f4q60qnhgkyq76oj/val/generations.table.json', 'nrows': 7, 'sha256': 'c286e9e470a8fd6d208d4e2a1c61e65103713793c463d083932c6f255f63c0a1'}",0.71,0.34,0.4608433734939759,0.688,0.125,0.05194805194805195,0.51,0.7195121951219512,0.3421717171717172,0.145,0.12186379928315412,0.017634632140398024,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
35,0.015,0.27,0.385,"{'path': 'media/table/val/generations_34_0dd4d496fe1c4c643fc9.table.json', 'artifact_path': 'wandb-client-artifact://qqq2t6pw85p17qcgve6wbm3x5yge1l7tle2o6bph2l47cg1d8eozd9nj9yoe17oe5onj25lwr1f15qamquus00zv87lf9f8bhejna769grwi0k3st7qqd2g3dg0mbcn0/val/generations.table.json', 'sha256': '0dd4d496fe1c4c643fc9d658b83c08ad145a31e11158eed882eb282dd01d186e', 'nrows': 8, '_latest_artifact_path': 'wandb-client-artifact://shgb2iqh5yw65en1cjliy8j4sgudp8tgojqfe8k48at6yhj90vnvf2zlo1j889dzqpwi65rbh7q9dupipoamwwel5r7omvs4q51qnv6trl155ayprsiq8v3kon4cm326:latest/val/generations.table.json', 'ncols': 91, 'size': 834621, '_type': 'table-file'}",0.7,0.26,0.39457831325301207,0.706,0.1375,0.1038961038961039,0.505,0.75,0.3345959595959596,0.14,0.12186379928315412,0.025897006168961526,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
40,0.025,0.26,0.35,"{'_latest_artifact_path': 'wandb-client-artifact://jwpiyc7wyja7alp6o8hyw2zl6562mqrloev83sprmeqyal4w0sblwvrsesuv91yny15fl3techqhqiacatym56gylru3mjrjqx43skr9s05xg28i6dodzqt06m2y7pfs:latest/val/generations.table.json', '_type': 'table-file', 'path': 'media/table/val/generations_39_62c060b0d9088b0183c2.table.json', 'size': 942746, 'nrows': 9, 'sha256': '62c060b0d9088b0183c2f2365c4630916f63b3bc99e01247ef6c5a0a946893ee', 'artifact_path': 'wandb-client-artifact://6a19wpbovkmv0m72qp08onpd7rrtasqtgco0tbsrk0cuuz4ksyjrhlq38tvmzf60lhhxhpkclida33dnafzsh636h66ss2zdriz04r62e5gzspka683kfqj8e3neblvh/val/generations.table.json', 'ncols': 91}",0.68,0.34,0.4006024096385542,0.712,0.10833333333333334,0.11688311688311688,0.55,0.7682926829268293,0.3472222222222222,0.155,0.12544802867383512,0.04671011963859201,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
45,0.03,0.275,0.395,"{'nrows': 10, '_type': 'table-file', 'path': 'media/table/val/generations_44_bf1b57927dd199cea598.table.json', '_latest_artifact_path': 'wandb-client-artifact://8b57bg3unhanjygvioirf90sfbdya6f4xlnvdxkjrdu6e9h0slx0z0qp77dbktp1pim1ofm2fkmx0jchurjf1kqpif7enghr0s3xob2fd5a1q2t46kt6j7p7n6hz5rhh:latest/val/generations.table.json', 'ncols': 91, 'artifact_path': 'wandb-client-artifact://zw6fwgk32icxumy74p8tbd6hqwol2tv8wzi8qkfz97rnj13mr9x40r7gmltesj8q6b0hhkp96j7c728erngt40c9o7i8rsviqaffmph7hnmbdud3hxbfzkx2v1nj0gc9/val/generations.table.json', 'sha256': 'bf1b57927dd199cea598d1f36c3881b396eb8a70452370fa33ee59fc1f202c25', 'size': 1048852}",0.68,0.36,0.4307228915662651,0.722,0.1125,0.1038961038961039,0.575,0.7378048780487805,0.3371212121212121,0.15,0.11469534050179211,0.027732203304767607,9pf3p5rd,2025-05-14T11:08:31Z,71162-zhoujun-simulation3k-guru18k-models--Qwen--Qwen2.5-7B-think
