_step,val/test_score/simulation__arcagi1/unknown,val/test_score/stem__supergpqa/m-a-p/SuperGPQA,val/test_score/table__multihier/unknown,val/generations,val/test_score/codegen__mbpp/mbpp,val/test_score/logic__ordering_puzzle_dataset/unknown,val/test_score/math__amc_repeated_4x/unknown,val/test_score/math__math/unknown,val/test_score/math__aime_repeated_8x/unknown,val/test_score/logic__graph_logical_dataset/unknown,val/test_score/table__hitab/unknown,val/test_score/codegen__humaneval/openai_humaneval,val/test_score/stem__gpqa_diamond/Idavidrein/gpqa,val/test_score/simulation__codeio/unknown,val/test_score/codegen__livecodebench/LiveCodeBench,val/test_score/logic__zebra_puzzle_dataset/unknown,run_id,run_created_at,run_name
0,0.025,0.25,0.305,"{'ncols': 91, 'sha256': '982aed3e28e432c2e368fd14785c836bb8d9d46c8a2ab4530325e89da1d24e32', 'artifact_path': 'wandb-client-artifact://8k14j2mh8j5ghguzf4e5amoljtfnpbmukzwa2fmcuhj07jfowkyl3jonqhs2y298y9b2ot92v6007dk97zdebd5jg4ktg5yiq935rfvtmy199kynirdddfixq6f1ct5j/val/generations.table.json', 'path': 'media/table/val/generations_0_982aed3e28e432c2e368.table.json', '_latest_artifact_path': 'wandb-client-artifact://ecw5wda1vhhhs4kmwbye7766ne3c4prj781wdj6apjjw7zbowrqrpo9dhznurmt5rpuf6a4yr6pn0c3l8d1b916bugchjhvez2nup1c2i3sbwb78jau0ntgmuptibkxg:latest/val/generations.table.json', '_type': 'table-file', 'size': 88285, 'nrows': 1}",0.66,0.28,0.30120481927710846,0.57,0.05,0.06493506493506493,0.49,0.725609756097561,0.2866161616161616,0.08,0.10752688172043011,0.041123918639495965,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
5,0.01,0.245,0.305,"{'path': 'media/table/val/generations_4_98adfdb475bfb3545708.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://aplg0in5o89t5pl8ojls7biu6557z5e77c0u0bhsfpznpjx9bov6dtp9a7cq634terc2i57ftfbvilozm6apqqcyntcbcavbl8gimv1jxvhjuf6rzfqpvo9pa7yzr3iz/val/generations.table.json', 'sha256': '98adfdb475bfb3545708c78bed27179f97a5f1fbec299e7a6f23e459b894c6c9', '_latest_artifact_path': 'wandb-client-artifact://8tnnv5xo9sfx9t5mhenuw34n1p1dq9b8g15uz7gqvev0teggabhm9kvp9yri6zv23h4pq90wzx9glyt905916h1nrgcgiixu0xqv60ud8vbsazikkbvnyadjvya1ijy3:latest/val/generations.table.json', 'size': 238224, 'ncols': 91, 'nrows': 2}",0.675,0.26,0.32831325301204817,0.554,0.08333333333333333,0.012987012987012988,0.44,0.7134146341463414,0.3106060606060606,0.065,0.08243727598566308,0.020380976721644403,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
10,0.005,0.275,0.345,"{'ncols': 91, 'path': 'media/table/val/generations_9_d5b1f8599ee03b30321d.table.json', 'sha256': 'd5b1f8599ee03b30321dfa5da50046fb9a55cb9d092757f93c1d3ec6d82f419e', '_latest_artifact_path': 'wandb-client-artifact://10mdzztdrvcq9p8e7nuvjbqb6uio1f46yzls2qsxo0ese412zrhv3xy6d6pdnya5gym6jolsms4wcvjm2k3ufh82bt66kmzhil5aktt49met8qx56eztpit352qszl02:latest/val/generations.table.json', 'artifact_path': 'wandb-client-artifact://o0crfx674a428qxapxpqzwzsz49twbn7mgwcfif194lm0cem2eksj3jkd9315i48pwf14holpz44xif2w1j7b694nlhq4w1i5icrdqoboclh1ghk590s6m32cez7mkcv/val/generations.table.json', 'nrows': 3, 'size': 340902, '_type': 'table-file'}",0.685,0.26,0.37349397590361444,0.686,0.1,0.025974025974025976,0.465,0.725609756097561,0.3055555555555556,0.07,0.0931899641577061,0.01618308136239648,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
15,0.01,0.26,0.27,"{'sha256': '0e07775b5f2a6a05004d74618ef56020f4c144a40c3b2d4df3154d8b04235005', 'size': 440719, '_type': 'table-file', 'ncols': 91, '_latest_artifact_path': 'wandb-client-artifact://wva8x7wpaejia5kswj90bujjp90a9qoljngh0tbpwvey53oj3lpjgmt0igkylv2xb2am06724nmqk9kh4pv4zur0zduvbrufdctx0p4tg1081qbcit6whkiamh0rpqsa:latest/val/generations.table.json', 'artifact_path': 'wandb-client-artifact://5h6s6c9rbo5hhdzdybxc24oyhtxqqx6ng2r6pc2a3tpudbqjb953mbzhrlysew3b7r5lak0y95481amvd2bpy9yzls4kd0bupa47hopt3seyigcquilssiv9dzl0t76a/val/generations.table.json', 'nrows': 4, 'path': 'media/table/val/generations_14_0e07775b5f2a6a05004d.table.json'}",0.65,0.24,0.4186746987951807,0.706,0.125,0.07792207792207792,0.465,0.6890243902439024,0.2765151515151515,0.1,0.1003584229390681,0.012505952613428234,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
20,0.015,0.22,0.24,"{'size': 545545, 'ncols': 91, 'artifact_path': 'wandb-client-artifact://o5wf83iuifbuuztqsy8l997mcvr2azq6ps67rzdjourpn60gh134ncayhan3rah5t6ur4d081qiq6z2ylaj16fr5jeqq79xyoj7dxidw3n9nemv4k5rh42mrkbu93oat/val/generations.table.json', 'nrows': 5, '_latest_artifact_path': 'wandb-client-artifact://yhajqta7bgh413if4ahqc9sa6wam7v59qsfbcvz5btl59e2b5msjrktum7hrxp37k3rgt12tjk9xf0n6r6kqdpv5gcce4864me7vt8tqbhujizyac315qauetqjiswsk:latest/val/generations.table.json', '_type': 'table-file', 'path': 'media/table/val/generations_19_ea96bc5472b56539d2ae.table.json', 'sha256': 'ea96bc5472b56539d2ae19167f1ee9917b08d7983b52c6dedfd1fcf3ce7f1156'}",0.645,0.28,0.4186746987951807,0.716,0.13333333333333333,0.025974025974025976,0.45,0.6280487804878049,0.27525252525252525,0.05,0.1111111111111111,0.0032272728160023688,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
25,0.01,0.24,0.27,"{'path': 'media/table/val/generations_24_fe4a2d4c3109df2bb583.table.json', 'sha256': 'fe4a2d4c3109df2bb583d0adcc9e6229f5ff1f05e64f99de021f093cba724684', 'nrows': 6, 'artifact_path': 'wandb-client-artifact://dpmaflsqrgkpzr86w8ba26x8d849km2z3i0vx6p0zf9flwt00j17zdnvhg1uqo75cbqcyk27rw0vki32boy354myarc47r9b1eghy2lfqiqiuqmm1m3tqgxjyxgd4oki/val/generations.table.json', 'ncols': 91, 'size': 684897, '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://bdeh0axp11d9oqcgli3yz8t2bi5930e7os2q5is4svjxu2uibcns5iqxzey2ni56843okxsflewh618enrrj4k3dd2l286lphlak7g2ijh888okkkz10hnb8or8crt45:latest/val/generations.table.json'}",0.66,0.3,0.4307228915662651,0.726,0.1625,0.025974025974025976,0.45,0.6402439024390244,0.24368686868686867,0.06,0.11469534050179211,0.007444444596767425,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
30,0.01,0.245,0.23,"{'_type': 'table-file', 'ncols': 91, 'size': 791519, '_latest_artifact_path': 'wandb-client-artifact://htt1915irsj4v8fbd9hutm8zxf1kkslhwot2cb624du70y8r1j59xmpr6l49bzzfjbrwvw8bycvfonexbury0medwtscx017me5c07j14dedxf9307hs6d7aqdor49um:latest/val/generations.table.json', 'artifact_path': 'wandb-client-artifact://sszr05m51zev8gs4d3oepwox8i48td3sneh4npta5twhmcw1kjeoud9cx49ybm8zqbhjem2xetgdhoarwyz81t5yaw4gnr443g5xlufyqlqts4znix82o2i9ks4rldgb/val/generations.table.json', 'nrows': 7, 'path': 'media/table/val/generations_29_59867ae37e4353a2c626.table.json', 'sha256': '59867ae37e4353a2c626a8b0ba2cba5c97c6dbf5ee96194e3949c71dec4dacd1'}",0.65,0.26,0.4246987951807229,0.72,0.14166666666666666,0.03896103896103896,0.455,0.6036585365853658,0.23863636363636365,0.045,0.1039426523297491,0.007408730327151716,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
35,0.01,0.265,0.255,"{'ncols': 91, 'sha256': '180150f080266a714c0da1da575da562afb06c85ec87f83a6fa7e9cd5e62d957', 'size': 916144, 'path': 'media/table/val/generations_34_180150f080266a714c0d.table.json', 'artifact_path': 'wandb-client-artifact://wg8kcco9ojegvgylcqzac4vouvmggppkuysw9if6xpn67ajaeo01exniwpjbc2xad3hznnqclud408vzjgc1hid0vq6dole38uu1uhqgxna8av701bas35y571p5prbx/val/generations.table.json', 'nrows': 8, '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://07aw31mic42nzjkp6zqrbpu3m5d2w8yjgbb69kswdqrpr3ssva59ag768tbhbs9ousfdoybt7fm8pzk3tiasx6qqkl0osxdw95eud7dfmbfr6bl04e57958yv9reax8u:latest/val/generations.table.json'}",0.655,0.27,0.44879518072289154,0.766,0.14583333333333334,0.05194805194805195,0.435,0.6463414634146342,0.21085858585858586,0.065,0.10752688172043011,0.00767361119389534,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
40,0.005,0.285,0.25,"{'artifact_path': 'wandb-client-artifact://pu0t0v15kvtgsvvqxdex7tir5dza5d4lc3qoygdrakyhmtw3vgifa1l7oc7nkb91ktp5pp5wlq7yrb8guf15pmg1toi4oey3ochd0uxyqffv0nbqg3wr0nfly8hyxymk/val/generations.table.json', 'path': 'media/table/val/generations_39_4364604ea0e79be95130.table.json', 'ncols': 91, '_type': 'table-file', 'nrows': 9, 'sha256': '4364604ea0e79be95130ebf1e2ca2b02b6fa30a8a08e256a7562ad0c4f3769e1', 'size': 1046887, '_latest_artifact_path': 'wandb-client-artifact://m5nf4whs90s38gm8txwfafg1nohzks5pheu8v7aec01cb1d0wwvoft2ri0pnuv2lsy3sy18wfdx6nx6hb1hy3tfmcdvswuchx8hbylzls24fd4k37gtjdzp9pxd20w1u:latest/val/generations.table.json'}",0.66,0.29,0.4427710843373494,0.738,0.17083333333333334,0.012987012987012988,0.475,0.6463414634146342,0.20959595959595959,0.04,0.0967741935483871,0.009636003077030181,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
45,0.015,0.275,0.24,"{'artifact_path': 'wandb-client-artifact://mg5z2aa42bsikr3mkc3rvbjtre2o3gbdqgjfqszxrzhi3kr3v0q006pn84j6x2m0wuhnlbyx2m6rb00uuceam9abiov9sura25l6u7usm60ymkb0m4ncvcyherba6wye/val/generations.table.json', 'path': 'media/table/val/generations_44_6f8814b3abe4aee6b532.table.json', 'ncols': 91, '_latest_artifact_path': 'wandb-client-artifact://i1mrubxxc7nclpqphkh2equmvfss3wwxqli92hsac43kabvlbucpbenvwzdbhxd2xqcqgiocl83qj8jh64z0fdtfn2s89j1fsae64x4ayz8jegsheirl441tr433wsoc:latest/val/generations.table.json', 'size': 1182974, 'nrows': 10, 'sha256': '6f8814b3abe4aee6b532e5d1e180958d67a0be75ecc52f7f4d70dabd869616d2', '_type': 'table-file'}",0.655,0.3,0.3885542168674699,0.742,0.12916666666666668,0.06493506493506493,0.465,0.6463414634146342,0.20833333333333334,0.06,0.12186379928315412,0.003333333432674408,tnjlr51x,2025-05-14T10:45:56Z,71138-zhoujun-stem3k-guru18k-models--Qwen--Qwen2.5-7B-think
